,id,val,Node,Channel,Value,is_posted,create_ts,sent_ts,State ,rolling_avg,pred
75,4404217,1603285229, EC4N0003, A1,0.12,0,2020-10-21 13:00:00,0.02,Idle,0.12,Idle
76,4404218,1603285229, EC4N0003, A2,0.14,0,2020-10-21 13:00:00,0.02,Idle,0.1275,Idle
77,4404227,1603285230, EC4N0003, A2,0.16,0,2020-10-21 13:00:00,-0.05,Idle,0.14,Idle
78,4404228,1603285230, EC4N0003, A0,0.11,0,2020-10-21 13:00:00,0.04,Idle,0.1325,Idle
79,4404238,1603285231, EC4N0003, A2,0.15,0,2020-10-21 13:00:00,-0.05,Idle,0.14,Idle
80,4404239,1603285231, EC4N0003, A0,0.1,0,2020-10-21 13:00:00,0.01,Idle,0.13,Idle
81,4404240,1603285231, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,0.0,Idle,0.1175,Idle
82,4404249,1603285232, EC4N0003, A0,0.11,0,2020-10-21 13:00:00,-0.01,Idle,0.1175,Idle
83,4404250,1603285232, EC4N0003, A1,0.1,0,2020-10-21 13:00:00,0.01,Idle,0.10499999999999998,Idle
84,4404259,1603285233, EC4N0003, A0,0.11,0,2020-10-21 13:00:00,0.0,Idle,0.10749999999999998,Idle
85,4404260,1603285233, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,0.03,Idle,0.10749999999999998,Idle
86,4404261,1603285233, EC4N0003, A2,0.14,0,2020-10-21 13:00:00,-0.03,Idle,0.11499999999999999,Idle
87,4404271,1603285234, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,0.04,Idle,0.1175,Idle
88,4404272,1603285234, EC4N0003, A2,0.15,0,2020-10-21 13:00:00,-0.02,Idle,0.1275,Idle
89,4404273,1603285234, EC4N0003, A0,0.13,0,2020-10-21 13:00:00,0.02,Idle,0.1325,Idle
90,4404283,1603285235, EC4N0003, A2,0.15,0,2020-10-21 13:00:00,-0.04,Idle,0.135,Idle
91,4404284,1603285235, EC4N0003, A0,0.11,0,2020-10-21 13:00:00,0.02,Idle,0.135,Idle
92,4404294,1603285236, EC4N0003, A2,0.13,0,2020-10-21 13:00:00,-0.01,Idle,0.13,Idle
93,4404295,1603285236, EC4N0003, A0,0.12,0,2020-10-21 13:00:00,0.01,Idle,0.1275,Idle
94,4404296,1603285236, EC4N0003, A1,0.13,0,2020-10-21 13:00:00,-0.02,Idle,0.1225,Idle
95,4404304,1603285237, EC4N0003, A0,0.11,0,2020-10-21 13:00:00,0.0,Idle,0.1225,Idle
96,4404305,1603285237, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,0.03,Idle,0.1175,Idle
97,4404306,1603285237, EC4N0003, A2,0.14,0,2020-10-21 13:00:00,-0.02,Idle,0.1225,Idle
98,4404316,1603285238, EC4N0003, A1,0.12,0,2020-10-21 13:00:00,0.01,Idle,0.12,Idle
99,4404317,1603285238, EC4N0003, A2,0.13,0,2020-10-21 13:00:00,-0.02,Idle,0.125,Idle
100,4404327,1603285239, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,0.03,Idle,0.125,Idle
101,4404328,1603285239, EC4N0003, A2,0.14,0,2020-10-21 13:00:00,0.0,Idle,0.125,Idle
102,4404329,1603285239, EC4N0003, A0,0.14,0,2020-10-21 13:00:00,-0.01,Idle,0.13,Idle
103,4404339,1603285240, EC4N0003, A2,0.13,0,2020-10-21 13:00:00,-0.01,Idle,0.13,Idle
104,4404340,1603285240, EC4N0003, A0,0.12,0,2020-10-21 13:00:00,-0.01,Idle,0.1325,Idle
105,4404341,1603285240, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,-0.01,Idle,0.125,Idle
106,4404350,1603285241, EC4N0003, A0,0.1,0,2020-10-21 13:00:00,0.01,Idle,0.11499999999999999,Idle
107,4404351,1603285241, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,0.0,Idle,0.10999999999999999,Idle
108,4404360,1603285242, EC4N0003, A0,0.11,0,2020-10-21 13:00:00,0.0,Idle,0.10749999999999998,Idle
109,4404361,1603285242, EC4N0003, A1,0.11,0,2020-10-21 13:00:00,0.04,Idle,0.10749999999999998,Idle
110,4404362,1603285242, EC4N0003, A2,0.15,0,2020-10-21 13:00:00,-0.03,Idle,0.12,Idle
111,4404371,1603285243, EC4N0003, A1,0.12,0,2020-10-21 13:00:00,0.01,Idle,0.1225,Idle
112,4404372,1603285243, EC4N0003, A2,0.13,0,2020-10-21 13:00:00,0.02,Idle,0.1275,Idle
